#-----------------------------------------------------------
# xsim v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Thu Apr 30 18:15:56 2026
# Process ID: 26648
# Current directory: D:/System/desktop/kldj_sourceset/pipilined5
# Command line: xsim.exe -mode tcl -source {xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl}
# Log file: D:/System/desktop/kldj_sourceset/pipilined5/xsim.log
# Journal file: D:/System/desktop/kldj_sourceset/pipilined5\xsim.jou
#-----------------------------------------------------------
source xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl
# xsim {rv32i_supported_instr_tb_sim} -autoloadwcfg -runall
Vivado Simulator 2018.3
Time resolution is 1 ps
run -all
[FAIL] step=135 pc=0x8000021c inst=0x232710b7 x1 expected=0x23271000 got=0x89d6d818
[FAIL] step=136 pc=0x80000220 inst=0x7b408093 x1 expected=0x232717b4 got=0x23271000
[FAIL] step=137 pc=0x80000224 inst=0x8000f193 x3 expected=0x23271000 got=0xffffffff
[FAIL] step=138 pc=0x80000228 inst=0x7fbfa0b7 x1 expected=0x7fbfa000 got=0x232717b4
[FAIL] step=139 pc=0x8000022c inst=0x57b08093 x1 expected=0x7fbfa57b got=0x7fbfa000
[FAIL] step=140 pc=0x80000230 inst=0x79908193 x3 expected=0x7fbfad14 got=0x23271000
[FAIL] step=141 pc=0x80000234 inst=0x5b9350b7 x1 expected=0x5b935000 got=0x7fbfa57b
[FAIL] step=142 pc=0x80000238 inst=0x01108093 x1 expected=0x5b935011 got=0x5b935000
[FAIL] step=143 pc=0x8000023c inst=0x3ff0a193 x3 expected=0x00000000 got=0x7fbfad14
[FAIL] step=144 pc=0x80000240 inst=0xfefe60b7 x1 expected=0xfefe6000 got=0x5b935011
[FAIL] step=145 pc=0x80000244 inst=0xe7508093 x1 expected=0xfefe5e75 got=0xfefe6000
[PASS] retire step=146 pc=0x80000248 inst=0x1ed0b193 next_pc=0x8000024c
[FAIL] step=147 pc=0x8000024c inst=0x6b1070b7 x1 expected=0x6b107000 got=0xfefe5e75
[FAIL] step=148 pc=0x80000250 inst=0xbf808093 x1 expected=0x6b106bf8 got=0x6b107000
[FAIL] step=149 pc=0x80000254 inst=0xd2a0c193 x3 expected=0x94ef96d2 got=0x00000000
[FAIL] step=150 pc=0x80000258 inst=0xfc7970b7 x1 expected=0xfc797000 got=0x6b106bf8
[FAIL] step=151 pc=0x8000025c inst=0x7a808093 x1 expected=0xfc7977a8 got=0xfc797000
[FAIL] step=152 pc=0x80000260 inst=0x7ff0e193 x3 expected=0xfc7977ff got=0x94ef96d2
[FAIL] step=153 pc=0x80000264 inst=0x513b00b7 x1 expected=0x513b0000 got=0xfc7977a8
[FAIL] step=154 pc=0x80000268 inst=0xf7308093 x1 expected=0x513aff73 got=0x513b0000
[FAIL] step=155 pc=0x8000026c inst=0x3ff0f193 x3 expected=0x00000373 got=0xfc7977ff
[FAIL] step=156 pc=0x80000270 inst=0xbc5880b7 x1 expected=0xbc588000 got=0x513aff73
[FAIL] step=157 pc=0x80000274 inst=0x60908093 x1 expected=0xbc588609 got=0xbc588000
[FAIL] step=158 pc=0x80000278 inst=0xef408193 x3 expected=0xbc5884fd got=0x00000373
[FAIL] step=159 pc=0x8000027c inst=0xec02e0b7 x1 expected=0xec02e000 got=0xbc588609
[FAIL] step=160 pc=0x80000280 inst=0x84508093 x1 expected=0xec02d845 got=0xec02e000
[FAIL] step=161 pc=0x80000284 inst=0xc000a193 x3 expected=0x00000001 got=0xbc5884fd
[FAIL] step=162 pc=0x80000288 inst=0xfd1250b7 x1 expected=0xfd125000 got=0xec02d845
[FAIL] step=163 pc=0x8000028c inst=0xa3408093 x1 expected=0xfd124a34 got=0xfd125000
[PASS] retire step=164 pc=0x80000290 inst=0xef50b193 next_pc=0x80000294
[FAIL] step=165 pc=0x80000294 inst=0x144270b7 x1 expected=0x14427000 got=0xfd124a34
[FAIL] step=166 pc=0x80000298 inst=0x7f908093 x1 expected=0x144277f9 got=0x14427000
[FAIL] step=167 pc=0x8000029c inst=0x0000c193 x3 expected=0x144277f9 got=0x00000001
[FAIL] step=168 pc=0x800002a0 inst=0x7684f0b7 x1 expected=0x7684f000 got=0x144277f9
[FAIL] step=169 pc=0x800002a4 inst=0x86408093 x1 expected=0x7684e864 got=0x7684f000
[FAIL] step=170 pc=0x800002a8 inst=0x8000e193 x3 expected=0xfffff864 got=0x144277f9
[FAIL] step=171 pc=0x800002ac inst=0x420740b7 x1 expected=0x42074000 got=0x7684e864
[FAIL] step=172 pc=0x800002b0 inst=0x7ee08093 x1 expected=0x420747ee got=0x42074000
[FAIL] step=173 pc=0x800002b4 inst=0xc000f193 x3 expected=0x42074400 got=0xfffff864
[FAIL] step=174 pc=0x800002b8 inst=0x930b30b7 x1 expected=0x930b3000 got=0x420747ee
[FAIL] step=175 pc=0x800002bc inst=0xcfd08093 x1 expected=0x930b2cfd got=0x930b3000
